x		N		 fs			error
-10		1		-0.9408			90.592
-10		3		-2.788			72.12
-10		10		-8.30235			16.9765
-10		100		-10.0112			0.112267
-9.5		1		-1.91652			79.8261
-9.5		3		-5.45748			42.5529
-9.5		10		-11.3753			19.7399
-9.5		100		-9.62371			1.30221
-9		1		-2.8492			68.3422
-9		3		-7.58039			15.7734
-9		10		-9.35666			3.96285
-9		100		-8.85922			1.56422
-8.5		1		-3.71789			56.2601
-8.5		3		-8.98009			5.64813
-8.5		10		-7.46917			12.1275
-8.5		100		-8.61016			1.29598
-8		1		-4.50309			43.7114
-8		3		-9.58734			19.8418
-8		10		-7.84423			1.9471
-8		100		-7.94176			0.727957
-7.5		1		-5.18715			30.8379
-7.5		3		-9.44569			25.9425
-7.5		10		-8.21592			9.54559
-7.5		100		-7.50456			0.0607554
-7		1		-5.75473			17.7896
-7		3		-8.69735			24.2478
-7		10		-7.08742			1.24885
-7		100		-7.03607			0.515332
-6.5		1		-6.19306			4.72208
-6.5		3		-7.55281			16.1971
-6.5		10		-5.94363			8.55952
-6.5		100		-6.44484			0.848689
-6		1		-6.49232			8.20529
-6		3		-6.25013			4.16885
-6		10		-5.9448			0.920081
-6		100		-6.05149			0.858235
-5.5		1		-6.64577			20.8321
-5.5		3		-5.0118			8.87635
-5.5		10		-5.96287			8.41578
-5.5		100		-5.46949			0.554692
-5		1		-6.64997			32.9993
-5		3		-4.00728			19.8545
-5		10		-5.03694			0.738735
-5		100		-5.00189			0.037899
-4.5		1		-6.50482			44.5516
-4.5		3		-3.32794			26.0457
-4.5		10		-4.09627			8.97172
-4.5		100		-4.52365			0.525644
-4		1		-6.21359			55.3398
-4		3		-2.97867			25.5332
-4		10		-3.97481			0.629711
-4		100		-3.96222			0.944453
-3.5		1		-5.78282			65.2235
-3.5		3		-2.88677			17.5208
-3.5		10		-3.86506			10.4302
-3.5		100		-3.53679			1.05102
-3		1		-5.22218			74.0726
-3		3		-2.92575			2.47488
-3		10		-3.01686			0.561849
-3		100		-2.9776			0.746719
-2.5		1		-4.54426			81.7703
-2.5		3		-2.94833			17.9331
-2.5		10		-2.16004			13.5986
-2.5		100		-2.50076			0.0302887
-2		1		-3.76428			88.2142
-2		3		-2.82159			41.0796
-2		10		-1.98959			0.520325
-2		100		-2.01992			0.996089
-1.5		1		-2.89977			93.318
-1.5		3		-2.45695			63.797
-1.5		10		-1.82479			21.6529
-1.5		100		-1.46778			2.14816
-1		1		-1.97013			97.0135
-1		3		-1.82872			82.872
-1		10		-1.00498			0.497746
-1		100		-1.03199			3.19887
-0.5		1		-0.996254			99.2509
-0.5		3		-0.977777			95.5554
-0.5		10		-0.182374			63.5252
-0.5		100		-0.480335			3.93295
0		1		0			-nan
0		3		0			-nan
0		10		0			-nan
0		100		0			-nan
0.5		1		0.996254			99.2509
0.5		3		0.977777			95.5554
0.5		10		0.182374			63.5252
0.5		100		0.480335			3.93295
1		1		1.97013			97.0135
1		3		1.82872			82.872
1		10		1.00498			0.497746
1		100		1.03199			3.19887
1.5		1		2.89977			93.318
1.5		3		2.45695			63.797
1.5		10		1.82479			21.6529
1.5		100		1.46778			2.14816
2		1		3.76428			88.2142
2		3		2.82159			41.0796
2		10		1.98959			0.520325
2		100		2.01992			0.996089
2.5		1		4.54426			81.7703
2.5		3		2.94833			17.9331
2.5		10		2.16004			13.5986
2.5		100		2.50076			0.0302887
3		1		5.22218			74.0726
3		3		2.92575			2.47488
3		10		3.01686			0.561849
3		100		2.9776			0.746719
3.5		1		5.78282			65.2235
3.5		3		2.88677			17.5208
3.5		10		3.86506			10.4302
3.5		100		3.53679			1.05102
4		1		6.21359			55.3398
4		3		2.97867			25.5332
4		10		3.97481			0.629711
4		100		3.96222			0.944453
4.5		1		6.50482			44.5516
4.5		3		3.32794			26.0457
4.5		10		4.09627			8.97172
4.5		100		4.52365			0.525644
5		1		6.64997			32.9993
5		3		4.00728			19.8545
5		10		5.03694			0.738735
5		100		5.00189			0.037899
5.5		1		6.64577			20.8321
5.5		3		5.0118			8.87635
5.5		10		5.96287			8.41578
5.5		100		5.46949			0.554692
6		1		6.49232			8.20529
6		3		6.25013			4.16885
6		10		5.9448			0.920081
6		100		6.05149			0.858235
6.5		1		6.19306			4.72208
6.5		3		7.55281			16.1971
6.5		10		5.94363			8.55952
6.5		100		6.44484			0.848689
7		1		5.75473			17.7896
7		3		8.69735			24.2478
7		10		7.08742			1.24885
7		100		7.03607			0.515332
7.5		1		5.18715			30.8379
7.5		3		9.44569			25.9425
7.5		10		8.21592			9.54559
7.5		100		7.50456			0.0607554
8		1		4.50309			43.7114
8		3		9.58734			19.8418
8		10		7.84423			1.9471
8		100		7.94176			0.727957
8.5		1		3.71789			56.2601
8.5		3		8.98009			5.64813
8.5		10		7.46917			12.1275
8.5		100		8.61016			1.29598
9		1		2.8492			68.3422
9		3		7.58039			15.7734
9		10		9.35666			3.96285
9		100		8.85922			1.56422
9.5		1		1.91652			79.8261
9.5		3		5.45748			42.5529
9.5		10		11.3753			19.7399
9.5		100		9.62371			1.30221
10		1		0.9408			90.592
10		3		2.788			72.12
10		10		8.30235			16.9765
10		100		10.0112			0.112267
